u,g,r,i,z,redshift
19.16385,17.42924,16.56925,16.156,15.84838,0.04293239
23.24603,22.7144,20.99884,19.96391,19.46489,0.5470055
18.95727,17.22833,16.51239,16.21087,16.02269,-0.0001120955
19.08209,18.02584,17.40971,17.02331,16.84608,0.1533938
25.47964,22.0154,20.53055,19.54055,19.19335,0.4712153
16.46143,15.31464,14.98146,14.87717,14.87947,-0.0001275782
20.52394,18.69982,17.85027,17.44591,17.19527,0.06161184
23.76208,24.63793,22.23327,20.92202,20.00822,-0.0003846618
21.28768,19.98836,19.14828,18.69633,18.44642,0.2081244
23.44338,21.5852,19.84805,19.03341,18.58148,0.4351417
27.44394,21.86368,20.22235,19.25594,18.80104,0.5815083
20.04452,18.32902,17.7576,17.3781,17.24673,0.09785423
26.23343,21.94746,20.43812,19.2401,18.99032,0.583558
22.31679,20.42984,18.76557,18.15326,17.78773,0.2947111
23.89798,24.16125,22.88161,22.2247,21.1779,1.064533
18.28717,17.14012,16.73511,16.59625,16.55691,0.0002044379
21.15642,19.80664,18.64382,18.37339,17.83001,0.3441752
26.14035,21.91564,20.02409,19.13819,18.56327,0.4969208
23.0283,22.60798,21.03802,19.76782,19.34179,0.6073264
23.66371,22.52695,21.8214,21.19964,22.07859,0.6382216
21.34307,20.60129,20.46283,20.21944,20.20415,1.581961
23.93671,22.53618,21.37839,19.91318,19.35165,0.7112458
22.75898,22.39737,20.37001,19.30117,18.76625,0.6416082
19.96412,18.66194,18.15979,17.92123,17.85853,-0.0002942971
18.03514,17.14775,16.8321,16.70641,16.66809,-0.0003169941
24.16929,21.73303,20.51199,19.65091,19.26174,0.4963694
25.68865,21.86753,21.17072,21.13675,21.06287,-0.0004749164
20.75147,19.03428,17.81733,17.32492,16.98295,0.1596238
21.83527,19.44544,17.98216,16.69855,15.98663,-3.685647e-05
21.86867,21.15354,20.8669,20.68123,20.34579,4.100612
26.34171,22.47835,20.45303,19.55816,19.15624,0.4823894
23.42941,22.09677,21.48576,20.54253,20.2601,0.8556479
19.32116,19.27487,19.49813,19.69905,19.80507,2.687479
21.18341,18.96567,17.62823,17.14622,16.79927,0.2009202
23.03906,21.35723,21.07216,20.98735,21.37546,1.101511e-05
23.74046,21.52459,19.74318,18.80958,18.47003,0.4963209
24.23304,23.93832,21.20814,20.12857,22.26488,-5.067954e-05
20.40747,19.96609,19.4901,19.29034,19.28896,1.363577
18.33142,18.08435,18.36114,18.66121,18.84611,0.0001319879
22.35712,22.36565,22.60666,22.43251,21.91783,2.222256
26.54472,22.66171,21.11231,20.05656,19.62398,0.5796436
24.78464,22.73207,20.75538,19.78092,19.14559,0.5012581
23.93354,22.16792,20.56252,19.57276,19.24151,0.4956919
22.36942,22.83186,21.12025,19.98975,19.50727,0.6009246
22.05178,22.03455,21.65381,21.72443,21.45667,1.180053
23.55953,23.88204,21.45467,20.28829,19.75811,0.6717254
22.41321,20.17419,18.64626,18.01913,17.61266,0.2943624
18.91553,17.48673,16.80344,16.38091,16.1482,0.07202611
25.06255,23.01581,21.75041,21.24045,20.95321,0.6072782
22.74271,21.53985,20.54454,20.37749,19.96403,3.486869
23.53631,23.85931,22.05004,20.92945,20.06358,0.6280565
21.63759,21.07719,20.81209,20.42381,20.17062,0.5712401
22.14477,21.40244,21.37678,21.11273,20.58925,2.126301
22.78652,21.86315,20.30735,19.40312,19.15994,0.5252296
19.78531,18.04387,17.12012,16.63253,16.26435,0.09841839
25.44681,22.62598,20.95522,19.97066,19.62315,0.4294024
22.63465,22.74657,21.65062,20.6036,19.74969,0.7370112
22.6287,20.67888,18.9271,18.29681,17.98248,0.3257781
23.26394,22.06234,20.30027,19.28135,18.85422,0.557589
19.16473,17.80029,17.19426,16.9186,16.78032,0.0002068451
24.96295,23.81066,22.13013,20.77056,19.90695,0.7937126
24.08126,24.18353,21.71017,19.32956,17.21957,-6.073009e-06
20.30017,19.26513,18.97504,18.88894,18.84892,0.0002182473
24.70075,22.50918,20.90569,19.87326,19.43209,0.6750038
21.76365,21.21145,20.67485,20.19305,20.04759,1.66707
20.10667,18.21353,17.19121,16.74896,16.4004,0.0
19.65523,18.36916,17.87392,17.54635,17.33464,0.07402445
24.61398,21.44682,19.8258,18.86785,18.47197,0.4907836
20.32078,19.81091,19.75998,19.70918,19.5713,0.7593964
21.94971,21.33503,21.11975,21.0953,21.28325,0.3170568
19.7295,17.82531,16.79625,16.35118,15.9734,0.1352441
25.37147,22.85471,20.71104,19.4596,18.75587,0.6924053
22.5198,20.80109,19.9054,19.49162,19.17205,-0.0004118541
23.6355,21.67358,20.61012,19.39011,18.91248,0.6241189
20.13968,18.22083,17.29896,16.87836,16.55281,0.1310138
20.21373,18.17845,17.0773,16.57228,16.1682,0.1177514
23.6876,22.52643,21.0643,19.9295,19.40788,0.5659482
19.79778,19.6341,19.95551,20.2862,20.87505,0.0001892063
23.28233,22.79929,22.06227,21.47912,20.44295,0.8332176
22.94131,22.03127,20.4401,19.56739,18.96273,0.4677884
22.07104,19.94683,18.26685,17.62719,17.19416,0.2609975
22.98206,22.33809,20.71001,19.69795,19.12949,0.5246833
23.22398,21.91154,20.36613,19.51656,18.89727,0.5135059
23.78704,21.16721,19.4982,18.88747,18.4969,0.3655931
19.61937,17.63283,16.69835,16.24186,15.89606,0.06828082
18.44873,17.30734,17.31975,17.37395,17.49113,-0.0004055613
20.62974,19.30237,18.7564,18.56798,18.46335,0.0002182667
21.34527,20.79041,20.87163,20.65026,20.28596,2.359302
19.4703,18.44676,17.86677,17.38942,17.20769,0.1153915
21.99149,21.29132,21.13215,21.29755,21.29672,-0.000110404
21.53669,19.70605,18.28576,17.71039,17.38822,0.2429062
22.76166,20.15877,18.95602,18.35454,17.90218,0.1666033
23.96192,21.90422,21.5237,20.8497,20.99764,0.9043056
25.50106,23.64404,21.70131,20.70498,19.9516,0.6384019
20.2096,18.52822,17.67428,17.20811,16.88521,0.06507432
26.83779,22.05194,20.47149,19.60169,19.04813,0.494965
21.27109,21.07956,21.05654,20.72065,20.31826,1.996779
20.60685,19.46869,18.99141,18.76364,18.65321,-3.792705e-05
18.28051,17.32202,17.00331,16.87219,16.84853,-0.0002758657
20.63803,18.82999,17.53745,17.06646,16.69111,0.1993642
22.38638,21.44625,19.62006,18.89443,18.63705,0.4155595
23.47036,20.99986,19.60257,19.04134,18.63493,0.2834254
23.77872,21.51225,19.85119,19.00448,18.50043,0.4470079
20.5936,18.33092,17.35012,16.98602,16.77676,-3.364271e-06
26.44692,21.89963,19.76572,19.10525,18.66872,0.3758881
18.4494,17.27362,16.78936,16.55766,16.4598,-0.0006763015
24.88747,23.50954,21.52708,19.21252,17.91377,-0.0001191817
22.02542,21.26846,21.10683,20.95347,20.89083,-0.001238956
21.62164,21.47879,21.28757,20.99834,21.45794,1.713515
24.86414,22.76213,21.18153,19.90623,19.49851,0.6549339
18.32903,17.40786,17.07783,16.95595,16.91596,0.0001661175
26.05852,23.77694,21.44493,20.45392,19.88295,0.5268447
23.82954,22.46159,22.01034,22.17084,21.59731,0.2374872
22.42105,22.11565,21.91292,21.46806,21.80251,1.56434
22.56882,21.22038,19.43595,18.76797,18.28215,0.4196668
23.55193,22.91755,21.09578,19.94645,19.45242,0.5723258
23.36665,22.75163,20.92368,19.93023,19.25655,0.5502132
21.1611,20.76098,20.53774,20.63496,20.41323,0.9000571
17.13473,16.20848,15.89189,15.74257,15.70481,-0.0003994617
22.02772,20.69258,20.36897,20.25635,20.42008,-0.0002699204
25.05397,20.7595,18.99202,18.25631,17.7693,0.4134229
20.46701,18.59956,17.66195,17.27382,16.96119,0.1131812
20.02826,18.23083,17.01008,16.51849,16.12304,0.1729597
21.33434,22.00976,20.31866,20.06998,19.74765,0.2829679
22.0185,21.78361,21.70827,21.30558,21.26718,0.9552833
18.75872,18.1193,17.85694,17.5881,17.58601,0.1177642
18.82153,17.15611,16.50022,16.27854,16.1635,-0.0003230427
21.65592,21.19616,20.09838,19.33526,18.77081,0.51504
24.93682,22.45137,21.13714,20.16764,19.69344,0.4995511
20.43716,19.86356,19.63254,19.69841,19.43802,0.8818444
21.3754,20.94625,20.71078,20.75746,20.41179,0.5159423
21.70818,19.59821,18.60208,18.19485,17.95565,-0.0004458112
24.29175,22.24503,20.62108,19.65731,19.06638,0.5823166
22.93506,24.30556,22.81126,21.19496,19.88008,0.9600996
25.13048,21.75299,19.69211,18.80536,18.37642,0.3571651
22.91759,21.4252,19.74249,18.9201,18.5488,0.5224986
24.83204,22.88612,21.20354,20.19754,19.70875,0.509045
25.99123,21.89648,20.60001,19.77995,19.39072,0.5474123
21.05375,19.11136,18.17574,17.73321,17.40512,0.1239618
20.87805,19.57085,18.72543,18.27985,17.96591,0.1424313
19.27206,17.87953,17.17885,16.89951,16.70065,-1.235171e-05
23.05944,22.30274,20.24283,19.14862,18.59239,0.5334014
22.81185,21.89844,20.43231,19.38192,18.96968,0.5826933
19.30019,18.21234,17.95609,17.84345,17.84475,-0.000188851
23.12042,22.04095,20.57596,19.54944,19.03991,0.5263696
24.13324,22.72354,21.27687,19.99952,19.66866,0.6280431
18.99971,18.33723,18.0978,17.98101,17.77319,2.481187
20.16675,19.3554,19.01862,19.03542,18.86055,-0.0006036038
21.50541,18.04699,17.34937,16.98367,16.73459,-0.0001269399
22.4902,22.30401,20.70362,19.65628,19.10594,0.5954452
22.05511,21.6948,20.65286,19.76574,19.52576,0.605906
19.86664,17.9671,16.9085,16.37795,15.94078,0.1256616
23.1784,22.01702,20.36948,19.54068,19.00409,0.4280971
24.47487,22.45466,20.81856,19.69257,19.46046,0.6139364
20.94964,20.73502,20.39475,20.30453,20.17352,1.366977
18.46077,17.38491,16.86481,16.50492,16.38221,0.08056057
22.68823,21.78045,20.18918,19.41673,19.0046,0.4219307
23.11754,22.37682,21.95827,21.08514,20.73923,0.7802703
20.93983,20.25966,20.26439,20.16888,19.77592,2.337653
22.10955,21.49037,21.80954,21.46491,21.15731,2.265732
22.17982,20.82784,19.08702,18.38026,17.9723,0.4012949
20.70741,20.5306,20.42552,20.2005,20.06515,0.5416875
22.57045,20.60744,18.93803,18.29304,17.87952,0.3218779
23.45226,22.63588,20.76198,19.7026,19.15122,0.5748
21.68511,20.83263,20.55769,20.35349,19.89629,0.0007152142
20.13856,19.27769,18.96778,18.84942,18.84002,5.105598e-05
23.73562,22.40559,20.56397,19.57762,19.23258,0.5160479
19.6217,17.71517,16.76999,16.32128,16.01824,0.08048327
19.78961,18.37835,17.59181,17.19027,16.95971,0.1725992
19.01595,17.85642,17.42684,17.25613,17.20377,-0.0002357452
16.58941,15.12915,14.56525,14.38807,14.31969,0.0001042941
24.82954,23.08176,22.14454,21.11109,19.8608,7.441062e-05
23.69225,21.01529,20.79181,20.71504,20.31437,2.727194
23.54189,20.42801,18.87791,18.12777,17.71177,8.302683e-05
22.31153,21.68388,21.40652,21.11569,20.62921,1.489108
22.73486,23.29849,20.87502,19.45282,19.00085,0.6795267
19.01584,17.9208,17.59414,17.37056,17.22046,0.0698363
18.05899,16.47844,15.69032,15.27064,14.9128,0.04620935
19.44266,17.96331,17.22226,16.88103,16.62467,0.07109947
26.35712,22.43815,20.82609,19.59491,19.08445,0.586643
17.12648,16.0822,15.66331,15.4434,15.36047,0.02647614
24.53331,23.83945,21.55846,20.35499,19.65524,0.6371198
19.75858,18.48103,17.77026,17.40079,17.20541,0.1289428
25.98045,23.55491,21.76752,20.36986,19.71615,0.7154598
24.01232,22.33014,20.96667,19.80509,19.36826,0.5611962
19.62852,18.31745,17.81022,17.56981,17.51712,-0.0005798339
24.63188,23.06102,21.14763,20.04022,20.0354,0.6202496
17.22949,15.78327,15.17499,14.94587,14.83729,-3.974196e-05
23.80782,22.20971,21.42966,20.40257,19.60061,0.7403606
18.65297,17.10257,16.31899,15.87711,15.56867,0.076949
19.53817,18.2522,17.72702,17.41007,17.23344,0.06005741
19.06563,17.56575,16.70705,16.24267,15.91358,0.1396844
17.65904,16.521,16.1846,16.00985,15.89911,0.03024099
22.85925,20.02035,18.46368,17.88627,17.44498,0.292747
24.63723,22.45672,20.49649,19.25312,18.76282,0.530562
18.27864,16.42531,15.55077,15.17411,14.86978,0.08585756
18.50163,16.94834,16.28909,15.99879,15.87922,-0.0005223062
24.26465,22.58618,22.53369,21.94564,21.9515,0.9294116
19.77928,17.8896,16.87727,16.44825,16.10593,0.1241689
25.19563,24.28878,22.47796,20.54049,19.80236,0.6626841
20.23174,18.50907,17.50406,17.02298,16.70281,0.1473458
20.85717,20.3518,20.24538,20.37246,20.01731,2.343197
24.51824,22.79011,21.24635,20.12267,19.6343,0.6291344
19.79728,19.54898,19.58217,19.37002,19.31163,0.5462561
20.5582,19.42533,19.03697,18.91105,18.86856,0.000318625
19.63169,17.69865,16.80269,16.38437,16.03901,0.1006342
17.55397,15.99309,15.43469,15.25111,15.18633,-7.987538e-05
22.78363,21.39317,19.86496,19.34949,18.87396,0.3038332
22.95445,20.11091,18.4289,17.84033,17.44849,0.3579243
22.40646,22.19466,21.36908,20.45064,20.34781,0.7788246
25.19726,21.68553,21.17727,21.37603,20.95483,3.197507
20.40248,20.22343,20.27392,20.41151,20.62808,0.5558612
25.86532,21.79175,20.54565,19.80318,19.58664,0.5583948
18.62694,16.77856,15.92392,15.52417,15.22563,0.07458071
23.07732,21.26849,19.71426,19.06024,18.62966,0.3017498
27.23486,22.34513,20.84202,19.8466,19.36534,0.5416996
25.23341,21.72625,20.33447,19.45223,19.02075,0.5067434
21.22814,18.89989,17.82455,17.33862,16.98929,0.1248483
19.88122,18.22311,17.20632,16.70136,16.38288,0.1697262
20.8429,19.22335,19.03409,18.95391,18.87517,2.88466
23.66644,21.41984,21.11937,20.88574,20.6329,2.994239
19.91797,19.66047,19.64731,19.45083,19.56264,1.65526
21.11027,20.55034,20.26467,19.79555,19.65665,0.473866
20.81402,18.6659,17.52346,17.05709,16.73175,0.1549399
22.27436,21.96466,21.00547,21.01242,21.96228,0.1526871
25.49189,23.62799,21.00163,19.73116,19.25596,0.6630101
27.64246,22.94404,22.11797,20.6212,19.67573,0.4738394
22.52103,21.49751,21.14583,21.09354,20.8163,2.493642
19.72869,18.81445,18.36731,18.22371,18.16403,-0.0006466873
24.37185,21.65322,20.57113,20.2121,19.61852,0.0001722825
18.65674,16.67351,15.55555,15.07477,14.71638,0.1258641
17.01699,15.12401,14.0331,13.67935,13.41686,0.05207298
25.1979,23.73108,21.98048,20.67305,20.35719,0.6470405
21.8694,21.61949,21.35777,21.27001,21.6249,0.9527459
22.74472,21.71384,21.16485,20.78879,20.15772,2.138186
23.9838,22.50307,20.61303,20.41161,19.93948,-0.0006240953
19.8819,19.61689,19.56781,19.43811,19.46756,0.532214
22.70283,21.32393,20.28729,19.58969,19.4106,0.576104
20.55018,18.39576,17.28782,16.82716,16.4934,0.1469959
23.69793,23.82577,22.05626,20.80947,19.98892,0.6130536
18.78938,17.55794,17.09592,16.77179,16.62396,0.0922523
18.87453,18.60006,18.51917,18.66442,18.51315,0.7258168
20.73554,20.44254,20.41147,20.41542,20.34313,2.235056
20.38606,20.01607,19.59868,19.79572,19.68369,1.087211
25.46507,22.09238,20.71107,19.90063,19.76971,0.5376473
22.11925,22.61271,22.09068,21.7733,21.32413,0.7286327
19.66759,18.83215,18.52449,18.4004,18.35269,-0.0004465846
22.43062,21.86515,20.1275,19.27995,18.99788,0.6115668
20.08193,18.79693,18.81761,18.79521,18.52665,2.796341
21.97839,21.32836,19.60377,18.82332,18.39769,0.4762789
20.75436,18.68806,17.67565,17.26515,16.93232,0.1126885
19.50955,19.15327,19.1917,18.95355,18.9348,0.4917374
24.02574,22.75825,20.91304,19.59585,18.75226,0.0004263824
24.21019,22.32071,20.6328,19.76139,19.2664,0.4908119
24.45784,23.36096,22.18053,21.03284,19.91075,0.9253281
25.96125,20.62441,18.86264,18.12069,17.73665,0.3716497
23.06523,20.73055,18.91028,18.34379,17.99774,0.3659413
21.29981,20.2102,19.76725,19.70201,19.58187,-0.0003487662
19.06524,17.7605,17.08725,16.69305,16.42894,0.06612714
22.22311,19.97532,18.59961,18.04811,17.7182,0.2547726
25.23901,21.51457,20.13188,19.39405,18.97331,0.4737474
24.09805,21.80382,21.7525,21.68099,21.91037,-0.001550363
22.8273,22.20241,20.84184,19.69726,19.41379,0.558043
23.6869,22.29365,20.48922,19.66975,19.24689,0.4750946
23.50884,20.36472,19.77965,19.6061,19.44168,-0.0006323842
19.97844,18.60103,17.891,17.42541,17.13911,0.09187129
19.09935,18.97296,18.89967,18.76004,18.35534,0.397975
19.39908,18.32289,17.60001,17.13694,16.84263,0.1513415
23.91543,24.47662,22.60553,21.84979,21.15413,0.6384441
20.21453,18.99632,18.46821,18.24715,18.1541,-0.0001841843
23.04228,22.66422,22.03242,22.615,22.15268,1.009869
24.52518,22.18191,20.59169,19.66896,19.35105,0.5560548
24.31942,23.42586,21.91011,20.69891,20.18152,0.0001852066
20.27987,17.9455,16.91529,16.53813,16.34568,1.289686e-05
22.24928,21.46576,19.59198,18.74078,18.40313,0.4735063
19.95632,18.48402,17.67836,17.27365,16.97437,0.1419266
21.70206,21.27241,21.08836,21.25756,21.32652,2.528361
21.32841,21.18541,21.07355,20.91783,20.9351,1.452033
23.10159,22.47028,22.06009,21.64989,20.73721,0.8198006
25.38361,23.97585,22.35969,20.93407,19.98488,0.6321102
23.51721,21.95351,20.54322,19.7126,19.16007,0.5045447
22.16981,20.76893,20.48681,20.36866,20.19361,-0.0004524267
22.62146,23.08077,22.46289,21.59742,20.88482,0.9178579
23.30412,21.8578,21.71498,21.63701,23.09971,0.0001671598
23.26644,21.67393,19.89251,18.9705,18.43955,0.513905
21.78587,21.71999,20.56222,19.74087,19.70861,0.6327446
24.24759,21.49498,19.93139,19.05555,18.57793,9.463917e-06
21.40139,20.01505,19.41867,19.23215,19.06839,-0.0002152021
22.79298,21.97076,20.79617,19.98699,19.35427,0.5281281
20.64604,19.5488,19.05342,18.77083,18.57677,0.07300015
24.64883,23.42372,22.38361,21.74609,21.85043,0.3415523
20.67525,18.72769,17.54712,17.07882,16.74497,0.1767762
24.06148,21.29704,20.51604,20.2951,20.16256,-0.0003586084
25.74535,22.60646,21.09078,19.72969,19.05606,-0.0001335532
20.20023,18.90549,18.42707,18.26445,18.1149,-0.000154146
20.47756,18.62512,17.73417,17.32958,16.97775,0.08394211
22.43545,22.03636,20.40451,19.61052,19.09094,0.4420844
18.30349,16.62797,15.85203,15.47495,15.26746,0.0002045661
22.68954,22.51517,21.18589,20.67278,20.45268,0.9044678
21.87155,20.00318,18.93399,18.4793,18.17235,0.1557931
20.6263,18.47368,17.22262,16.71205,16.36549,0.1899593
23.2733,22.18751,20.6321,19.74818,19.26084,0.4870008
21.60067,20.22663,20.00552,19.80647,19.62203,-0.0005887607
22.11616,20.93148,20.88651,20.86289,20.88518,3.410688e-05
26.32943,19.48996,17.90724,17.37862,17.05158,0.261424
19.63771,18.21707,17.53333,17.21185,17.09209,-0.0002711665
22.35657,21.61548,21.30782,21.10127,20.75449,0.0005738393
19.22379,17.1785,16.24387,15.81226,15.47735,0.07387082
23.58058,21.4927,21.25206,21.16528,20.86574,1.225604
20.01736,18.20708,17.55673,17.12255,16.89624,0.08825964
19.63574,19.41232,19.27416,19.05849,19.05586,1.587151
19.29233,18.18468,17.57028,17.18608,16.99599,0.06597041
24.89757,21.68225,20.03272,19.16895,18.68493,0.455611
21.97254,21.78451,20.52625,19.69714,19.0199,0.6154138
23.95773,22.54231,21.1297,20.06975,19.6628,0.4785584
17.77826,16.3722,15.58225,15.12802,14.76161,0.04215244
18.85185,17.76874,17.38491,17.22662,17.1908,-0.0005944424
18.81218,17.47052,16.9221,16.7007,16.58733,-6.613549e-05
22.96434,20.77941,19.10578,18.46494,18.0931,0.3959739
18.99095,18.07269,17.82839,17.7478,17.73178,-0.0004457565
19.61996,18.27093,17.61107,17.31525,17.12232,-0.001447042
25.00405,21.60199,20.10168,19.30633,18.9229,0.4270647
19.96497,19.44435,19.49163,19.54647,19.35315,2.589631
24.58794,23.66748,21.58139,20.58887,19.83352,0.6556876
20.2728,18.17599,17.11006,16.61174,16.22741,0.1546588
26.37361,22.99479,21.81547,20.64374,19.80352,0.7228864
20.14597,17.90293,16.78608,16.32265,15.94859,0.1394259
21.93491,22.01855,20.91159,20.16697,19.32552,1.270533
24.19319,24.12982,23.95769,23.17452,22.5363,0.8465115
24.27303,22.22041,20.33168,19.45248,18.84852,0.4470693
24.14607,21.90804,20.20426,19.32084,18.77746,0.5104668
22.00398,19.38421,17.87048,16.58322,15.8823,-5.391912e-05
25.78456,22.10104,20.37727,19.53191,19.09536,0.4883762
19.4384,18.41819,17.52915,17.09712,16.86732,0.2377485
19.307,17.41669,16.52698,16.11086,15.76239,0.05553822
20.8402,18.54399,17.4657,17.02124,16.68218,0.1398387
19.72235,18.72283,18.45749,18.34267,18.2997,-0.0001548096
23.17208,22.98391,21.62571,20.27122,19.56483,6.151872
22.08619,21.0438,20.88399,20.79633,20.25159,2.589869
23.55436,22.09366,22.27165,22.42626,21.97524,-0.0003461773
20.7085,20.37471,20.37066,20.5051,20.51358,-0.0002355549
26.64084,20.79081,19.01398,18.32744,18.02427,0.3973832
22.31875,21.03782,20.9055,20.69343,20.30527,-9.758805e-05
23.02921,21.96095,21.90783,22.05945,23.06769,-0.0003445783
23.92967,22.263,20.55089,19.59123,18.99661,0.5500121
23.73675,21.79331,20.03958,19.20985,18.44233,0.4219437
20.77894,19.77688,19.41811,19.31247,19.25148,-9.938765e-06
18.5948,16.78039,15.90489,15.42641,15.04075,0.07018613
22.35407,19.63833,18.18721,17.65998,17.26856,0.2324193
20.25237,18.65026,17.59203,17.10375,16.74208,0.1676982
23.30592,22.0444,21.45045,20.81268,20.73034,1.85101
19.48696,17.49915,16.55024,16.13942,15.79724,0.1026344
22.6016,22.0057,21.98534,21.44579,21.5825,1.32565
23.94415,22.80952,21.50146,20.05711,19.60033,0.7367978
19.66683,17.4443,16.52038,16.16879,15.95986,-0.0001884816
24.67131,21.37576,20.9865,20.49075,20.36661,3.262182
21.11526,19.44681,17.84747,17.25081,16.87411,0.2856039
24.47367,22.33138,20.69973,19.79781,19.29821,0.5288296
23.47871,21.55735,19.59472,18.54345,18.01955,0.5643353
19.53769,18.03431,17.18506,16.72613,16.40319,0.1157146
23.44474,22.79186,21.15445,20.13532,19.63869,0.5591731
22.53653,20.63514,18.98002,18.38843,18.02156,0.3608356
22.76802,20.90017,19.57741,19.0398,18.67426,0.1759624
19.15946,17.09892,16.00168,15.49853,15.1742,6.684943e-05
23.63935,22.61042,21.16798,19.97452,19.38397,0.6004723
17.98386,16.9487,16.6342,16.48943,16.44593,0.0006282805
21.72935,21.98737,21.49749,21.48415,21.51756,1.344769
18.7715,17.79523,17.43572,17.29227,17.21989,0.000297142
21.08625,20.96757,20.62924,20.54893,20.60068,1.405053
22.78229,22.03366,20.26541,19.43729,19.04898,0.4571467
18.77797,17.79131,17.39662,17.25874,17.18818,-0.0006798591
24.82854,21.17891,19.41441,18.63707,18.20849,0.4330272
19.02412,17.98536,17.577,17.43253,17.38585,-0.0001390635
21.75516,21.70991,21.75641,21.59961,21.7995,1.79764
22.4341,22.64238,21.2837,20.08261,19.3897,0.6830779
21.43275,20.20944,19.77784,19.67341,19.58638,-0.001097067
21.11821,18.55073,17.07813,15.81284,15.11516,2.605977e-05
20.17747,19.0628,18.87617,18.81992,18.86897,-0.0002018466
20.00879,18.1997,17.21106,16.7719,16.44762,0.1126506
22.94467,20.95155,19.22754,18.56725,18.13382,0.3769815
21.50702,21.05792,20.72377,20.51324,20.30997,2.114571
19.99763,18.39932,17.73372,17.40059,17.09846,0.0308175
16.80844,15.693,15.34227,15.2357,15.21958,-8.633003e-05
23.04351,21.15724,19.33604,18.59189,18.02806,0.4188043
24.52219,22.26606,20.72868,19.91982,19.46817,0.48786
18.82232,17.41943,16.78648,16.53454,16.41358,7.390972e-05
22.50775,21.74401,21.7084,21.69493,21.52512,0.0003381113
20.25099,18.16768,17.0814,16.61487,16.26134,0.1261071
